PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;FAIL;Multiregion trail lz-org-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_kms_encryption_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;FAIL;Multiregion trail range-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_kms_encryption_enabled;False;range-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;ac-2;Manage system accounts, group memberships, privileges, workflow, notifications, deactivations, and authorizations.;Access Control (AC);;;aws;;PASS;Multiregion trail lz-org-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_log_file_validation_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-2;"The organization: a. Determines that the information system is capable of auditing the following events: [Assignment: organization-defined auditable events]; b. Coordinates the security audit function with other organizational entities requiring audit- related information to enhance mutual support and to help guide the selection of auditable events; c. Provides a rationale for why the auditable events are deemed to be adequate support after- the-fact investigations of security incidents";Audit and Accountability (AU);;;aws;;PASS;Multiregion trail lz-org-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_log_file_validation_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;PASS;Multiregion trail lz-org-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_log_file_validation_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;ac-2;Manage system accounts, group memberships, privileges, workflow, notifications, deactivations, and authorizations.;Access Control (AC);;;aws;;PASS;Multiregion trail range-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_log_file_validation_enabled;False;range-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-2;"The organization: a. Determines that the information system is capable of auditing the following events: [Assignment: organization-defined auditable events]; b. Coordinates the security audit function with other organizational entities requiring audit- related information to enhance mutual support and to help guide the selection of auditable events; c. Provides a rationale for why the auditable events are deemed to be adequate support after- the-fact investigations of security incidents";Audit and Accountability (AU);;;aws;;PASS;Multiregion trail range-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_log_file_validation_enabled;False;range-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;PASS;Multiregion trail range-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_log_file_validation_enabled;False;range-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;ac-2;Manage system accounts, group memberships, privileges, workflow, notifications, deactivations, and authorizations.;Access Control (AC);;;aws;;PASS;Trail lz-org-trail is multiregion and it is logging.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_multi_region_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;au-2;"The organization: a. Determines that the information system is capable of auditing the following events: [Assignment: organization-defined auditable events]; b. Coordinates the security audit function with other organizational entities requiring audit- related information to enhance mutual support and to help guide the selection of auditable events; c. Provides a rationale for why the auditable events are deemed to be adequate support after- the-fact investigations of security incidents";Audit and Accountability (AU);;;aws;;PASS;Trail lz-org-trail is multiregion and it is logging.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_multi_region_enabled;False;lz-org-trail;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
